velikost_m2,leto_izgradnje,tip,cena_€
"114,91",2028,3-sobno,"677.676,00"
"126,32",2028,4-sobno,"692.371,00"
"127,6",2003,4-sobno,"428.000,00"
,,,"738.908,00"
"127,98",2028,4-sobno,"738.908,00"
"136,45",2028,4-sobno,"811.827,00"
"138,22",2028,4-sobno,"749.158,00"
"141,8",1925,3-sobno,"330.000,00"
"141,9",2025,3-sobno,"647.296,11"
"142,52",2028,4-sobno,"775.715,00"
160,2019,4-sobno,"1.204.000,00"
"160,7",2026,,"530.000,00"
"164,8",2026,,"530.000,00"
"186,02",2028,4-sobno,"787.468,00"
"186,24",2028,4-sobno,"846.771,00"
205,1997,,"1.180.000,00"
205,1997,,"1.180.000,00"
"242,86",2028,4-sobno,"995.392,00"
279,1997,,"1.180.000,00"
"326,3",2014,,"2.750.000,00"
72,1963,5-sobno,"339.000,00"
"75,1",2016,3-sobno,"580.000,00"
89,1963,3-sobno,"465.000,00"
"87,3",1984,3-sobno,"460.000,00"
"75,1",1974,5-sobno,"372.000,00"
"81,9",1961,3-sobno,"395.000,00"
"196,2",2009,3-sobno,"850.000,00"
"76,8",1974,3-sobno,"339.000,00"
"52,2",1946,2-sobno,"349.000,00"
,,,"110.000,00"
"29,8",1939,garsonjera,"110.000,00"
"34,5",1957,5-sobno,"269.000,00"
96,1973,4-sobno,"530.000,00"
"98,1",1984,3-sobno,"474.000,00"
"64,4",1971,2-sobno,"355.000,00"
"52,4",1986,2-sobno,"334.000,00"
"47,3",2003,2-sobno,"349.000,00"
62,1961,2-sobno,"309.000,00"
69,1968,5-sobno,"375.000,00"
69,1968,3-sobno,"375.000,00"
"58,73",2027,2-sobno,"429.000,00"
"76,87",2025,3-sobno,"460.000,00"
"80,29",2025,3-sobno,"485.628,00"
"144,91",2025,3-sobno,"659.950,00"
"232,82",2025,3-sobno,"1.200.000,00"
"232,82",2025,3-sobno,"1.200.000,00"
"271,46",2025,4-sobno,"1.350.000,00"
"24,6",1965,1-sobno,"250.000,00"
"24,8",1980,garsonjera,"211.000,00"
"27,2",1827,1-sobno,"129.000,00"
"31,6",1896,1-sobno,"229.900,00"
"35,9",1800,2-sobno,"175.000,00"
39,1900,1-sobno,"250.000,00"
"41,3",1867,2-sobno,"210.000,00"
"44,7",1959,2-sobno,"280.000,00"
,,,"349.000,00"
"45,7",2009,garsonjera,"349.000,00"
"54,1",1933,2-sobno,"448.000,00"
56,1906,2-sobno,"290.000,00"
"56,6",1959,2-sobno,"348.800,00"
"58,4",1873,2-sobno,"280.000,00"
60,1867,2-sobno,"249.000,00"
"64,5",1960,3-sobno,"370.000,00"
"68,2",1876,5-sobno,"630.000,00"
"68,5",1988,1-sobno,"285.000,00"
"72,7",1876,5-sobno,"764.925,00"
"73,4",1905,3-sobno,"220.000,00"
"76,9",2005,2-sobno,"499.000,00"
78,1929,3-sobno,"465.000,00"
"78,7",1983,2-sobno,"619.000,00"
80,2005,5-sobno,"475.000,00"
"82,4",1985,3-sobno,"624.000,00"
"82,8",1852,3-sobno,"480.000,00"
83,1983,3-sobno,"590.000,00"
85,1929,3-sobno,"368.000,00"
"85,8",1852,5-sobno,"460.000,00"
"85,8",1852,5-sobno,"460.000,00"
88,1950,3-sobno,"348.000,00"
"92,6",1962,3-sobno,"490.000,00"
"93,2",1922,3-sobno,"475.000,00"
"93,2",1922,2-sobno,"475.000,00"
,,,"795.000,00"
"93,72",2026,5-sobno,"795.000,00"
"93,8",1930,3-sobno,"435.000,00"
96,1852,3-sobno,"489.000,00"
"98,4",1938,3-sobno,"520.000,00"
"98,9",1936,3-sobno,"449.000,00"
100,1753,5-sobno,"415.000,00"
100,2007,5-sobno,"410.000,00"
"103,62",2026,2-sobno,"825.000,00"
"103,87",1876,3-sobno,"947.100,00"
"103,87",1876,3-sobno,"947.100,00"
"103,9",1896,4-sobno,"650.000,00"
104,1904,4-sobno,"579.000,00"
"105,5",1880,3-sobno,"649.000,00"
111,1937,5-sobno,"550.000,00"
"111,65",2027,2-sobno,"452.760,00"
"111,8",2025,4-sobno,"1.300.000,00"
"111,9",1876,4-sobno,"947.100,00"
"115,09",2023,3-sobno,"850.000,00"
"117,5",1775,3-sobno,"760.000,00"
119,1909,5-sobno,"750.000,00"
119,1933,3-sobno,"760.000,00"
120,1895,3-sobno,"9.500,00"
120,1895,4-sobno,"490.000,00"
120,1895,4-sobno,"490.000,00"
"120,4",1930,3-sobno,"649.000,00"
,,,"649.000,00"
"120,4",1930,3-sobno,"649.000,00"
"120,5",1902,4-sobno,"549.000,00"
"131,6",1897,3-sobno,"671.000,00"
"133,5",1876,4-sobno,"1.200.500,00"
"134,67",1876,,"1.488.375,00"
"134,67",1876,,"1.488.375,00"
"134,97",2023,3-sobno,"1.399.000,00"
"136,7",1907,,"620.000,00"
"136,8",1905,,"684.000,00"
"137,1",1874,5-sobno,"449.000,00"
"138,15",1905,5-sobno,"1.230.000,00"
"142,5",2025,4-sobno,"1.075.000,00"
143,1930,4-sobno,"630.000,00"
"145,6",1876,4-sobno,"1.488.375,00"
"153,8",1630,4-sobno,"700.000,00"
"155,9",2023,2-sobno,"1.410.896,00"
"162,9",1905,,"685.000,00"
165,1500,,"619.000,00"
"170,4",2005,4-sobno,"1.700.000,00"
"172,9",1932,,"850.000,00"
181,1886,4-sobno,"870.000,00"
"181,2",1886,4-sobno,"870.000,00"
"184,3",1600,5-sobno,"2.100.000,00"
"184,3",1600,5-sobno,"2.100.000,00"
"184,3",1600,4-sobno,"2.100.000,00"
,,,"2.100.000,00"
"184,3",1600,5-sobno,"2.100.000,00"
"204,7",1520,4-sobno,"1.100.000,00"
206,1911,,"950.000,00"
"207,13",2026,2-sobno,"874.000,00"
"212,1",1939,,"1.440.000,00"
217,1905,5-sobno,"1.130.000,00"
