velikost_m2,leto_izgradnje,tip,cena_€
"157,5",2018,,"695.000,00"
"46,2",1962,2-sobno,"295.000,00"
"231,4",2004,,"990.000,00"
"282,9",2024,4-sobno,"949.000,00"
,,,"349.000,00"
"54,8",1972,2-sobno,"349.000,00"
84,1975,4-sobno,"350.000,00"
93,1987,4-sobno,"280.000,00"
"179,6",2018,4-sobno,"695.000,00"
"53,5",1909,2-sobno,"248.500,00"
"71,31",1958,3-sobno,"330.000,00"
"74,6",1968,5-sobno,"400.000,00"
"80,7",1949,5-sobno,"359.000,00"
"94,1",1968,5-sobno,"394.000,00"
"169,4",2009,3-sobno,"450.000,00"
"184,9",2009,4-sobno,"520.000,00"
"37,8",1969,1-sobno,"239.000,00"
"42,2",1969,1-sobno,"280.000,00"
"67,1",1958,5-sobno,"355.000,00"
"90,48",2009,2-sobno,"719.000,00"
205,1997,,"1.180.000,00"
279,1997,penthouse,"1.180.000,00"
"61,4",1958,3-sobno,"355.000,00"
36,1969,1-sobno,"239.000,00"
279,1997,,"1.180.000,00"
"69,37",1989,2-sobno,"470.000,00"
